This document is a summary of the European Public Assessment Report ( EPAR ) .	এই নথিটি ইউরোপীয় পাবলিক অ্যাসেসমেন্ট রিপোর্টের ( ইপিএআর ) সারাংশ।	0-0 1-1 2-1 3-2 4-2 7-2 8-3 9-4 10-5 11-6 12-7 12-9 13-8 14-9
It explains how the Committee for Medicinal Products for Human Use ( CHMP ) assessed the studies performed , to reach their recommendations on how to use the medicine .	কমিটি ফর মেডিসিনাল প্রোডাক্টস ফর হিউম্যান ইউজ ( সিএইচএমপি ) গবেষণা মূল্যায়ন করে কিভাবে ঔষধ ব্যবহার করতে হয় সে সম্পর্কে তাদের সুপারিশে পৌঁছানোর জন্য।	4-0 6-2 7-3 8-4 9-5 10-6 11-7 12-8 13-9 14-11 15-12 16-10 17-11 19-16 20-22 21-20 22-21 23-21 24-13 25-16 26-15 28-14 29-23
If you need more information about your medical condition or your treatment , read the Package Leaflet ( also part of the EPAR ) or contact your doctor or pharmacist .	আপনার চিকিৎসা সংক্রান্ত অবস্থা অথবা আপনার চিকিৎসার বিষয়ে যদি আরও তথ্যের প্রয়োজন হয় , তা হলে প্যাকেজ লিফলেট ( ইপিএআর-এর অংশ ) অথবা আপনার ডাক্তার বা ফার্মাসিস্টের সঙ্গে যোগাযোগ করুন।	0-8 3-9 4-10 5-2 6-0 6-5 7-1 8-3 9-4 10-5 11-6 12-13 13-14 14-12 15-16 16-17 17-18 19-20 20-20 22-19 23-21 24-22 25-27 25-28 26-23 27-24 29-26 30-29
If you want more information on the basis of the CHMP recommendations , read the Scientific Discussion ( also part of the EPAR ) .	যদি আপনি সিএইচএমপির সুপারিশের ভিত্তিতে আরো তথ্য চান , তাহলে বৈজ্ঞানিক আলোচনা ( ইপারেরও অংশ ) পড়ুন।	0-0 1-1 2-7 3-5 4-6 5-4 6-3 7-4 11-3 12-8 15-10 16-11 17-12 19-14 20-14 22-16 23-15
What is Alimta ?	আলিমতা কি ?	0-1 1-0 2-0 3-2
Alimta is a powder that is made up into a solution for infusion ( drip into a vein ) .	আলিমতা হচ্ছে এমন এক পাউডার , যা ইনফিউশনের ( শিরায় ডুবিয়ে ) জন্য এক দ্রবণে তৈরি করা হয়।	0-0 1-1 2-3 3-4 4-6 6-15 8-7 10-14 11-12 12-9 12-10 13-8 15-16 16-13 17-17 18-11
It contains the active substance pemetrexed .	এতে রয়েছে সক্রিয় পদার্থ পেমিরেক্সড।	0-0 1-1 2-1 3-2 4-2 4-3 5-4 6-4
What is Alimta used for ?	আলিম্তা কিসের জন্য ব্যবহৃত হয় ?	0-1 1-4 2-0 2-4 3-3 4-2 5-5
Alimta is used to treat two types of cancer : pleural mesothelioma ( cancer of the lining of the lungs that is usually caused by exposure to asbestos ) .	আলিমটা দুই ধরনের ক্যান্সারের চিকিৎসায় ব্যবহৃত হয় : প্লুরাল মেসোথেলিওমা ( অ্যাসবেস্টোসের সংস্পর্শে আসার কারণে সাধারণত ফুসফুসের আস্তরণের ক্যান্সার ) ।	0-0 1-6 2-5 5-1 6-2 7-2 8-3 8-4 9-7 10-8 11-8 11-9 12-10 13-18 16-17 17-17 19-16 22-15 23-14 24-14 25-12 25-13 26-13 28-19 29-20
Alimta is used together with cisplatin ( another anticancer medicine ) when the cancer is unresectable ( can not be removed by surgery alone ) and malignant ( has spread , or is likely to spread easily , to other parts of the body ) , in patients who have not received chemotherapy ( medicines for cancer ) before advanced or metastatic non-small cell lung cancer that is not affecting the squamous cells .	অ্যালিমটা সিসপ্লাটিন ( একটি ক্যান্সার প্রতিরোধী ঔষধ ) এর সাথে একত্রে ব্যবহার করা হয় যখন ক্যান্সারটি অসংশোধনযোগ্য ( শুধুমাত্র অস্ত্রোপচারের মাধ্যমে অপসারণ করা যাবে না ) এবং ম্যালিগন্যান্ট ( শরীরের অন্যান্য অংশে ছড়িয়ে পড়েছে বা খুব সহজেই ছড়িয়ে পড়েছে ) ।	0-13 1-13 2-11 3-10 4-9 5-1 6-2 7-3 8-5 9-6 10-7 11-14 13-4 17-23 18-24 19-23 20-21 21-20 22-19 23-18 25-26 26-27 27-17 36-35 36-36 39-30 40-31 43-29 44-25 47-22 50-24 52-29 53-28 56-15 57-39 60-34 61-33 62-32 62-33 64-37 69-38 73-40
Alimta is used in combination with cisplatin in patients who have not been treated before , and on its own in patients who have received another type of chemotherapy in the past .	পূর্বে চিকিত্সা করা হয়নি এমন রোগীদের মধ্যে সিস্প্লাটিনের সাথে আলিমতা ব্যবহার করা হয় এবং অতীতে অন্য ধরনের কেমোথেরাপি পেয়েছে এমন রোগীদের মধ্যে এটি নিজেই ব্যবহার করা হয়।	0-9 1-12 2-2 4-3 5-8 6-7 7-6 8-5 9-4 10-4 11-4 12-11 13-1 14-0 16-13 18-22 19-23 21-20 22-19 23-19 24-18 25-15 26-16 27-21 28-17 29-18 31-14 32-26
The medicine can only be obtained with a prescription .	ওষুধটি শুধুমাত্র একটি প্রেসক্রিপশন দিয়েই পাওয়া যায়।	0-0 1-0 2-1 3-1 7-2 8-3 8-4 8-5 8-6 9-6
How is Alimta used ?	কীভাবে আলিমতা ব্যবহার করা হয় ?	0-0 2-1 3-2 3-3 3-4 4-5
Alimta should only be given under the supervision of a doctor who is qualified in the use of anticancer chemotherapy .	অ্যান্টিক্যানসার কেমোথেরাপি ব্যবহারে যোগ্যতাসম্পন্ন একজন ডাক্তারের তত্ত্বাবধানে আলিমতা দেওয়া উচিত।	0-0 1-0 2-0 3-9 7-6 9-4 10-5 11-4 12-7 13-3 14-2 16-2 18-8 19-1
The recommended dose of Alimta is 500 mg per square metre of body surface area ( calculated using the patient 's height and weight ) .	আলিমতার সুপারিশকৃত ডোজ প্রতি বর্গ মিটারে ৫০০ মিলিগ্রাম ( রোগীর উচ্চতা ও ওজন ব্যবহার করে গণনা করা হয় ) ।	0-1 1-1 2-2 4-0 5-17 6-6 7-7 8-3 9-4 10-5 15-8 16-15 16-16 17-13 17-14 19-9 21-10 22-11 23-12 24-18 25-19
It is given once every three weeks as an intravenous infusion lasting 10 minutes .	এটা প্রতি তিন সপ্তাহে একবার করে দেওয়া হয় , যা ১০ মিনিট ধরে শরীরে প্রবেশ করে।	0-0 1-7 2-6 3-4 4-1 5-2 6-3 8-9 9-13 9-14 11-12 12-10 13-11 14-15
To reduce side effects , patients should take a corticosteroid and folic acid ( a type of vitamin ) , and receive injections of vitamin B12 during treatment with Alimta .	পার্শ্বপ্রতিক্রিয়া কমাতে রোগীদের একটি কর্টিকোস্টেরয়েড এবং ফলিক এসিড ( এক ধরণের ভিটামিন ) গ্রহণ করতে হবে এবং চিকিৎসাকালে ভিটামিন বি১২ ইনজেকশন নিতে হবে।	0-0 1-1 2-0 3-0 5-2 6-15 8-3 9-4 10-5 11-6 12-7 13-8 14-9 15-10 16-10 17-11 18-12 20-16 21-13 21-14 22-20 22-21 24-17 24-18 25-19 30-22
When Alimta is given with cisplatin , an anti-emetic medicine ( to prevent vomiting ) and fluids ( to prevent dehydration ) should also be given before or after the cisplatin dose .	সিস্প্লাটিনের সাথে আলিমতা দেওয়া হলে , একটি এন্টি-ইমেটিক ওষুধ ( বমি প্রতিরোধ করার জন্য ) এবং তরল ( ডিহাইড্রেশন প্রতিরোধ করার জন্য ) সিস্প্লাটিন ডোজের আগে বা পরে দেওয়া উচিত।	0-4 1-2 2-2 3-3 4-1 5-0 6-5 7-6 8-7 9-8 10-9 11-12 11-13 12-11 13-10 14-14 15-15 16-16 17-17 18-20 18-21 19-19 20-18 21-22 22-29 25-28 26-25 27-26 28-27 30-23 31-24
Treatment should be delayed or discontinued , or the dose reduced , in patients whose blood counts are abnormal or who have certain other side effects .	যে-রোগীদের রক্ত গণনা অস্বাভাবিক অথবা যাদের অন্য কোনো পার্শ্বপ্রতিক্রিয়া রয়েছে , তাদের চিকিৎসা বিলম্বিত অথবা বন্ধ করা উচিত অথবা মাত্রা হ্রাস করা উচিত।	0-0 1-17 2-17 3-13 4-4 5-15 9-19 10-20 11-10 13-8 14-5 15-1 16-2 18-3 19-18 20-11 22-7 23-6 26-22
Alimta is not recommended for use in patients with moderate or severe kidney problems .	মাঝারি বা গুরুতর কিডনি সমস্যা রয়েছে এমন রোগীদের ক্ষেত্রে আলিমতা ব্যবহারের জন্য সুপারিশ করা হয় না।	0-9 1-14 3-12 4-11 5-10 6-6 6-8 7-5 7-7 8-7 9-0 10-1 11-2 12-3 13-4 14-15
For more information , see the Summary of Product Characteristics ( also part of the EPAR ) .	আরও তথ্যের জন্য , প্রোডাক্ট ক্যারেক্টারিস্টিকের সারসংক্ষেপ দেখুন ( ইপারের অংশও ) ।	0-1 0-2 1-0 2-1 3-3 4-7 6-6 8-4 8-5 9-5 10-8 11-7 12-10 13-10 14-10 15-9 16-11 17-12
How does Alimta work ?	আলিমতা কিভাবে কাজ করে ?	0-1 1-1 2-0 3-2 3-3 4-4
The active substance in Alimta , pemetrexed , is a cytotoxic medicine ( a medicine that kills cells that are dividing , such as cancer cells ) , which belongs to the group antimetabolites .	লিমটা , পেমিটারেক্সড এর সক্রিয় পদার্থ হল সাইটোক্সিক ঔষধ ( যে ওষুধগুলি কোষগুলিকে বিভক্ত করে , যেমন ক্যান্সার কোষগুলিকে হত্যা করে ) যা এই গ্রুপের এন্টিমেটাবোলাইটের অন্তর্গত।	0-3 1-4 2-4 2-5 4-0 4-2 5-1 6-4 8-6 10-7 11-8 12-9 14-11 15-10 16-19 17-12 20-13 21-15 22-16 23-16 24-17 25-18 26-21 28-22 32-24 33-25 33-26 34-26
In the body , pemetrexed is converted into an active form that blocks the activity of the enzymes that are involved in producing nucleotides ( the building blocks of DNA and RNA , the genetic material of cells ) .	শরীরে , পেমিটারএক্সেডকে একটি সক্রিয় আকারে রূপান্তরিত করা হয় যা নিউক্লিওটাইড ( কোষের জেনেটিক উপাদান ডিএনএ এবং আরএনএ গঠন ব্লক ) তৈরির সাথে জড়িত এনজাইমের কার্যকলাপকে বাধা দেয়।	2-0 3-1 4-2 4-4 5-8 6-6 6-7 7-6 8-3 9-4 10-5 11-9 14-25 17-24 20-22 21-23 22-21 23-10 24-11 27-19 29-15 30-16 31-17 34-13 35-14 37-12 38-20 39-27
How has Alimta been studied ?	কীভাবে আলিম্তা অধ্যয়ন করা হয়েছে ?	0-0 1-2 2-1 3-2 3-3 4-4 5-5
For the treatment of malignant pleural mesothelioma , Alimta has been studied in one main study in 456 patients who had not received chemotherapy for their disease before .	ম্যালিগন্যান্ট প্লুরাল মেসোথেলিওমার চিকিৎসার জন্য , আলিমতা ৪৫৬ জন রোগীর মধ্যে একটি প্রধান গবেষণায় গবেষণা করেছেন যারা তাদের রোগের জন্য কেমোথেরাপি পাননি।	0-4 2-3 4-0 5-1 5-2 6-1 7-5 8-6 9-15 12-10 13-11 14-12 15-14 17-7 17-8 18-9 19-16 20-20 21-21 22-20 23-20 24-19 25-17 26-18 28-21
The effects of Alimta in combination with cisplatin were compared with those of cisplatin alone .	সিসপ্লাতিনের সঙ্গে আলিমতার প্রভাব শুধু সিসপ্লাতিনের প্রভাবের সঙ্গে তুলনীয়।	1-3 3-2 5-2 6-1 7-0 7-5 10-7 13-6 14-4 15-8
For the treatment of non-small cell lung cancer , the effects of Alimta were compared with those of docetaxel ( another anticancer medicine ) in one study involving 571 patients with locally advanced or metastatic disease who had received chemotherapy in the past .	ফুসফুসের ক্যান্সারের চিকিৎসার জন্য , আলিমতার প্রভাবকে একটি গবেষণায় ডোকেটাসেল ( অন্য একটি অ্যান্টিক্যানসার ঔষধ ) এর সাথে তুলনা করা হয়েছে যার মধ্যে স্থানীয় উন্নত বা মেটাস্ট্যাটিক রোগের ৫৭১ জন রোগী ছিল যারা অতীতে কেমোথেরাপি পেয়েছিলেন।	0-3 2-2 4-2 5-1 6-0 7-1 8-4 10-6 12-5 14-18 15-17 18-13 19-10 20-11 21-14 22-14 23-15 25-12 27-21 28-28 29-29 29-30 31-19 32-24 33-25 34-26 35-27 36-32 37-31 38-34 39-34 39-35 42-33
Alimta was also compared with gemcitabine ( another anticancer medicine ) , both in combination with cisplatin , in a study involving 1,725 patients who had not received chemotherapy for lung cancer in the past .	আলিমতাকে তুলনা করা হয় রত্নাসিটাবিন ( আর একটা ক্যান্সার প্রতিরোধী ঔষধ ) এর সাথে , একই সাথে সিস্প্লাটিন এর সাথে , এক গবেষণায় যার সাথে ১,৭২৫ জন রোগী জড়িত ছিল যারা অতীতে ফুসফুসের ক্যান্সারের জন্য কেমোথেরাপি পায়নি।	0-3 1-2 3-1 4-13 5-4 6-5 7-6 8-8 8-9 9-10 10-11 11-14 12-15 15-16 16-17 17-20 19-21 21-23 22-25 23-26 23-27 24-30 25-29 27-35 28-35 29-34 30-32 31-33 32-28 34-31
In all three studies , the main measure of effectiveness was how long the patients survived .	তিনটি গবেষণায়ই কার্যকারিতার প্রধান উপায় ছিল রোগী কতদিন বেঁচে ছিল।	0-1 1-1 2-0 3-1 5-3 6-3 7-4 8-3 9-2 10-5 11-7 12-7 14-6 15-8 16-9
What benefit has Alimta shown during the studies ?	অধ্যয়নের সময় আলিম্তা কোন উপকার দেখিয়েছেন ?	0-0 1-0 2-2 3-1 3-2 4-2 7-5 8-6
Alimta increased the survival time of patients with malignant pleural mesothelioma .	আলিমতা ম্যালিগন্যান্ট প্লুরাল মেসোথেলিওমা আক্রান্ত রোগীদের বেঁচে থাকার সময় বৃদ্ধি করেন।	0-0 0-1 1-1 3-6 6-4 6-5 7-4 8-1 9-2 9-8 10-2 10-3 10-9 11-10
Patients receiving Alimta and cisplatin survived for an average of 12.1 months , compared with 9.3 months in those receiving cisplatin alone .	আলিমতা ও সিসপ্লাতিন গ্রহণকারী রোগীদের গড় আয়ু ছিল ১২.১ মাস।	0-4 1-3 2-0 3-1 4-2 5-2 10-8 11-5 15-6 16-9 17-7
In the treatment of patients with non-small cell lung cancer , Alimta was as effective as the comparators .	ফুসফুসের ক্যান্সারে আক্রান্ত রোগীদের চিকিৎসার ক্ষেত্রে , আলিম্তা তুলনামূলক হিসেবে কার্যকর ছিলেন।	0-5 2-4 4-3 5-2 8-0 9-1 10-6 11-7 13-8 13-9 14-10 15-9 18-11
In patients who had received chemotherapy in the past , the average survival time was 8.3 months with Alimta , compared with 7.9 months with docetaxel .	অতীতে কেমোথেরাপি পেয়েছিলেন এমন রোগীদের মধ্যে , গড় বেঁচে থাকার সময় ছিল ৮.৩ মাস , যা ডোজট্যাসেলের সাথে ৭.৯ মাসের তুলনায়।	1-4 2-3 5-1 5-2 6-5 8-0 9-6 11-7 12-8 12-9 13-10 14-11 15-12 16-13 18-10 19-14 21-17 22-16 22-18 23-19 25-20
In patients who had not received chemotherapy in the past , the average survival time was 10.3 months in both groups .	অতীতে কেমোথেরাপি না পাওয়া রোগীদের মধ্যে , উভয় গ্রুপে গড় বেঁচে থাকার সময় ছিল ১০.৩ মাস।	1-4 2-1 3-1 4-2 6-1 7-5 8-5 9-0 10-6 12-9 13-10 13-11 13-12 14-12 15-13 16-14 17-15 19-7 20-8
However , in both studies , patients whose cancer was not affecting squamous cells had longer survival times if they received Alimta than if they received the comparator .	যাইহোক , উভয় গবেষণায় , যে সমস্ত রোগীদের ক্যান্সার স্ক্যামিয়াস কোষগুলিকে প্রভাবিত করছিল না , তাদের বেঁচে থাকার সময় বেশি ছিল যদি তারা কম্পারেটর গ্রহণ করার চেয়ে আলিমতা পেত।	0-0 1-1 3-2 4-3 5-4 6-7 7-6 8-8 9-12 10-13 11-11 12-9 13-10 14-20 15-19 16-16 16-17 16-18 17-18 19-15 21-27 22-19 23-21 24-22 25-23 25-24 26-25 27-26 28-28
In contrast , patients whose cancer was affecting squamous cells had shorter survival times if they received Alimta .	অন্যদিকে , যে-রোগীদের ক্যান্সারের কারণে স্কোমাস কোষগুলো ক্ষতিগ্রস্ত হচ্ছিল , তারা যদি আলিমতা লাভ করে , তা হলে তাদের বেঁচে থাকার সময় কম ছিল।	0-0 1-0 1-2 2-1 3-5 4-5 5-3 5-4 6-8 7-7 9-6 10-23 11-22 12-19 12-20 12-21 13-21 14-11 15-10 16-13 17-12 18-23
kalgebra is a mathematical calculator based on content markup MathML language .	কালজেব্রা হচ্ছে একটি গাণিতিক ক্যালকুলেটর যা কন্টেন্ট মার্কআপ ম্যাথএমএল ভাষার উপর ভিত্তি করে তৈরি।	0-0 1-1 2-2 3-3 4-4 5-11 5-12 6-10 7-6 8-7 8-8 9-8 10-9 11-13
Nowadays it is capable to make simple MathML operations ( arithmetic and logical ) and to representate 2D and 3D graphs .	আজকাল এটি সহজ গাণিতিক অপারেশন ( গণিত ও যৌক্তিক ) এবং দ্বিমাত্রিক ও ত্রিমাত্রিক গ্রাফ উপস্থাপন করতে সক্ষম।	0-0 1-1 2-1 3-17 4-16 5-2 6-2 7-6 8-4 9-5 10-3 11-7 11-10 12-8 13-9 14-12 15-16 17-11 18-12 19-13 20-14 20-15
It is actually not necessary to know MathML to use kalgebra .	প্রকৃতপক্ষে কালজেব্রা ব্যবহারের জন্য গণিতএমএল জানার প্রয়োজন নেই।	0-1 1-1 2-0 5-3 6-5 7-4 8-5 9-2 9-6 10-1 11-7
kalgebra is a MathML based graph calculator .	কালজেব্রা একটি গণিতভিত্তিক গ্রাফ ক্যালকুলেটর।	0-0 1-0 2-1 3-0 3-2 4-2 5-3 6-4 7-4
Although it was initially MathML oriented it can now be used by everyone with little mathematical knowledge .	যদিও এটি প্রাথমিকভাবে গণিত ভিত্তিক ছিল , তবে এখন অল্প গাণিতিক জ্ঞান সম্পন্ন সকলেই এটি ব্যবহার করতে পারে।	0-0 1-1 2-5 3-2 4-3 5-4 6-7 7-16 8-8 10-15 11-12 12-13 13-12 14-9 15-10 16-11 17-17
Here 's a screenshot of kalgebra main window	এখানে কালজেব্রা প্রধান উইন্ডোর একটি স্ক্রিনশট রয়েছে	0-0 1-0 2-4 3-5 5-1 6-2 7-3
kalgebra main window	প্রধান উইন্ডো	0-0 1-0 2-1
kalgebra main window consists in a Console tab , a 2D Graph tab , a 3D Graph tab and a Dictionary tab .	কালজেব্রা প্রধান উইন্ডো একটি কনসোল ট্যাব , একটি দ্বিমাত্রিক গ্রাফ ট্যাব , একটি ত্রিমাত্রিক গ্রাফ ট্যাব এবং একটি অভিধান ট্যাব নিয়ে গঠিত।	0-0 1-1 2-2 3-21 5-3 6-4 7-5 8-6 9-7 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 21-19 21-20 22-21
Below these tabs you will find an input field to type your functions or do your calculations .	এই ট্যাবগুলির নিচে আপনি আপনার ফাংশন টাইপ করার জন্য অথবা আপনার গণনা করার জন্য একটি ইনপুট ক্ষেত্র খুঁজে পাবেন।	0-2 1-0 2-1 3-3 4-18 5-17 6-14 7-15 8-16 9-7 9-8 9-12 9-13 10-6 11-4 11-10 12-5 13-9 15-10 16-11 17-18
If we want to understand how it works , the best thing we can do is to realize that our input is being converted into MathML although it is not necessary to know MathML .	আমরা যদি বুঝতে চাই এটা কিভাবে কাজ করে , তাহলে সবচেয়ে ভালো যে কাজটা আমরা করতে পারি তা হল এটা উপলব্ধি করা যে আমাদের ইনপুট গণিতএমএলে রূপান্তরিত হচ্ছে যদিও এটা জানার দরকার নেই।	0-1 1-0 2-3 3-3 4-2 5-5 6-4 7-6 8-8 10-11 11-10 11-13 12-14 13-15 13-16 14-17 15-18 17-20 18-12 18-22 19-23 20-24 21-18 22-27 23-26 24-26 25-25 26-28 27-29 28-27 29-32 30-31 33-30 34-32
I have based the syntax basically on common sense , it should not be hard for anyone .	আমি মূলত সাধারণ জ্ঞানের উপর ভিত্তি করে বাক্যগঠন তৈরি করেছি , এটা কারো জন্য কঠিন হওয়া উচিত নয়।	0-0 1-9 2-4 2-5 2-8 4-7 5-1 6-6 7-2 8-3 9-10 10-11 11-16 14-14 15-13 16-12 16-17
I 've looked closely to maxima and maple 's syntax so they look very similar .	আমি ম্যাক্সিমা আর ম্যাপেলের সিনট্যাক্সের দিকে খুব ভালো করে তাকিয়েছি , তাই দেখতে অনেকটা একই রকম।	0-0 1-0 1-1 2-5 3-7 6-2 7-3 8-8 9-4 10-11 11-11 12-12 13-6 14-13 14-14 14-15 15-15
+ - * / : Addition , subtraction , multiplication and division .	+ - * / : যোগ বিয়োগ গুণ ও ভাগ।	0-0 1-1 2-2 3-3 4-4 7-5 7-6 9-7 10-8 12-9
^ , * * : Power , you can use them both .	^ , * * : শক্তি , আপনি উভয় ব্যবহার করতে পারেন।	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-10 9-9 10-10 11-8 12-11
Also it is possible to use the unicode² characters .	এছাড়াও ইউনিকোড ২ অক্ষর ব্যবহার করা সম্ভব।	0-0 1-0 2-1 3-6 4-5 5-4 6-5 7-6 8-3
Powers are one way to make roots too .	শক্তিও শিকড় তৈরির একটি উপায়।	0-0 1-1 2-1 3-1 4-2 5-2 6-4 7-4 8-4
-gt : It 's the way to specify the bounded variable in a function .	-জিটি : এটি একটি ফাংশনের মধ্যে সীমাবদ্ধ চলক নির্ধারণ করার উপায়।	0-0 1-1 2-2 3-2 5-9 6-9 7-8 8-5 9-6 10-7 12-3 13-4 14-10
( ) : It is used to specify a higher priority .	( ) : এটি উচ্চতর অগ্রাধিকার নির্ধারণ করতে ব্যবহৃত হয়।	0-0 1-1 2-2 3-3 4-3 5-8 6-7 7-6 9-4 10-5 11-9
abc ( params ) : When the parser finds a function , it checks if abc is an operator .	অ্যাবসি ( পরম ) : পার্সার যখন কোন ফাংশন খুঁজে পায় , এটি পরীক্ষা করে অ্যাবসি একটি অপারেটর কিনা।	0-0 1-1 2-0 2-2 3-3 4-4 5-6 7-5 8-9 9-7 10-8 10-10 11-11 12-12 13-13 14-18 15-15 17-16 18-17 19-18
If it is , it will be treated as an operator , if it is not , it will be treated as a user function .	এটি যদি হয় , তবে এটি একটি অপারেটর হিসাবে গণ্য হবে , যদি না হয় , এটি একটি ব্যবহারকারী ফাংশন হিসাবে গণ্য হবে।	0-1 1-0 2-2 3-3 4-5 5-10 6-10 7-9 8-8 9-6 10-7 11-11 12-12 14-14 15-13 16-15 17-16 20-21 21-20 22-17 23-18 24-19 25-22
: = : It is used to define a variable value .	: = : এটি একটি চলক মান নির্ধারণ করতে ব্যবহৃত হয়।	0-0 1-1 2-2 3-3 4-3 5-9 6-8 7-7 8-4 9-5 10-6 11-10
? : Piecewise condition definition .	: ক্ষুদ্র শর্ত সংজ্ঞা .	1-0 2-1 3-2 4-3 5-4
Piecewise is the way we can define conditional operations in kalgebra .	আংশিকভাবে আমরা ক্যালজেব্রাতে শর্তযুক্ত অপারেশনকে সংজ্ঞায়িত করতে পারি।	0-2 1-0 3-2 4-1 5-6 5-7 6-5 7-3 8-4
If we introduce the condition before the ? it will use this condition only if it is true , if it finds a ? without any condition , it will enter in the last instance .	যদি আমরা আগের অবস্থার সাথে পরিচয় করিয়ে দেই , তাহলে এই শর্তটি ব্যবহার করা হবে যদি এটি সত্য হয় , যদি এটি কোন শর্ত ছাড়াই পাওয়া যায় , এটি শেষ অবস্থায় প্রবেশ করবে।	0-0 1-1 2-7 4-3 5-2 9-14 10-12 11-10 12-11 13-15 14-15 15-16 16-18 17-17 18-19 19-15 19-20 20-16 20-21 21-20 22-25 24-22 25-22 26-23 26-24 27-27 28-26 28-28 29-32 30-31 33-29 34-30
{ } : MathML container .	{ / : গণিত ধারক।	0-0 1-0 2-2 3-3 3-4 4-4 5-4
It can be used to define a container .	এটি একটি কন্টেইনার সংজ্ঞায়িত করতে ব্যবহার করা যেতে পারে।	0-0 1-8 2-7 3-5 4-4 5-3 6-1 7-2 8-8
Mainly useful for working with piecewise .	মূলত টুকরা টুকরা দিয়ে কাজ করার জন্য প্রয়োজনীয়।	0-0 0-1 0-2 1-1 3-4 5-5 5-6 5-7 6-7
Now you could ask me , why should the user mind about MathML ?	এখন আপনি আমাকে জিজ্ঞেস করতে পারেন , ব্যবহারকারীর কেন গণিতএমএল নিয়ে মাথা ঘামানো উচিত ?	0-0 1-1 2-5 3-3 3-4 4-2 5-6 6-8 7-13 9-7 10-11 11-12 12-9 12-10 13-14
That 's easy . With this , we can operate with functions like cos ( ) , sin ( ) , any other trigonometric functions , sum ( ) or product ( ) .	এটা সহজ। এর মাধ্যমে আমরা কোস ( , পাপ ( , অন্য কোন ত্রিকোণমিতিক ফাংশন , যোগফল বা পণ্য ( ) এর মত ফাংশনের সাথে কাজ করতে পারি।	0-0 1-0 2-1 4-3 6-7 7-4 9-25 10-24 11-14 12-22 13-2 13-21 14-9 16-10 17-8 20-15 21-12 22-11 23-13 24-13 25-15 26-16 27-19 28-20 29-17 30-18 31-19 32-20 33-27
It does not matter what kind it is .	এটা কি ধরনের ব্যাপার না।	0-0 1-0 2-4 3-3 4-1 5-2 7-3 8-4
We can use plus ( ) , times ( ) and everything which has its operator .	আমরা ব্যবহার করতে পারি প্লাস ( , সময় ( ) এবং যার অপারেটর আছে তার সবকিছু।	0-0 1-2 1-3 2-1 3-4 4-5 6-6 7-7 8-8 9-9 10-10 11-15 12-11 13-13 14-14 15-12
kalgebra 's console is useful as a calculator .	ক্যালজেব্রার কনসোল ক্যালকুলেটর হিসাবে কার্যকর।	0-0 1-0 2-1 4-2 5-3 6-3 7-2 7-4 8-4
There you have a list of the declared variables .	এখানে আপনি ঘোষিত চলকের একটি তালিকা পাবেন।	0-0 1-1 2-1 3-4 4-5 5-3 6-3 7-2 8-3 9-6
